timestamp,model,quant,config,benchmark,metric,value,n,stderr,source
2026-07-04T22:44:12Z,M1,bf16,C0,humaneval_base,pass@1,0.817,164,,humaneval_evalplus.log
2026-07-04T22:44:12Z,M1,bf16,C0,humaneval_plus,pass@1,0.762,164,,humaneval_evalplus.log
2026-07-04T23:57:36Z,M1,8bit,C0,gsm8k,exact_match[strict-match],0.772555,1319,0.011546,gsm8k_results.json
2026-07-04T23:57:36Z,M1,8bit,C0,gsm8k,exact_match[flexible-extract],0.824109,1319,0.010487,gsm8k_results.json
2026-07-04T23:57:38Z,M3,8bit,C0,gsm8k,exact_match[strict-match],0.774071,1319,0.011519,gsm8k_results.json
2026-07-04T23:57:38Z,M3,8bit,C0,gsm8k,exact_match[flexible-extract],0.785444,1319,0.011308,gsm8k_results.json
2026-07-05T02:11:54Z,M1,8bit,C0,humaneval_base,pass@1,0.817,164,,humaneval_evalplus.log
2026-07-05T02:11:54Z,M1,8bit,C0,humaneval_plus,pass@1,0.78,164,,humaneval_evalplus.log
2026-07-05T02:11:55Z,M1,bf16,C0,gsm8k,exact_match[strict-match],0.777104,1319,0.011464,gsm8k_plain_results.json
2026-07-05T02:11:55Z,M1,bf16,C0,gsm8k,exact_match[flexible-extract],0.830174,1319,0.010343,gsm8k_plain_results.json
2026-07-05T02:11:55Z,M1,bf16,C0,ifeval,prompt_level_strict_acc,0.719039,541,0.019342,ifeval_results.json
2026-07-05T02:11:55Z,M1,bf16,C0,ifeval,inst_level_strict_acc,0.796163,541,,ifeval_results.json
2026-07-05T02:11:55Z,M1,bf16,C0,ifeval,prompt_level_loose_acc,0.743068,541,0.018803,ifeval_results.json
2026-07-05T02:11:55Z,M1,bf16,C0,ifeval,inst_level_loose_acc,0.816547,541,,ifeval_results.json
2026-07-05T02:11:56Z,M3,8bit,C0,humaneval_base,pass@1,0.646,164,,humaneval_evalplus.log
2026-07-05T02:11:56Z,M3,8bit,C0,humaneval_plus,pass@1,0.598,164,,humaneval_evalplus.log
2026-07-05T03:34:33Z,M1,8bit,C0,mbpp_base,pass@1,0.815,378,,mbpp_evalplus.log
2026-07-05T03:34:33Z,M1,8bit,C0,mbpp_plus,pass@1,0.706,378,,mbpp_evalplus.log
2026-07-05T04:56:20Z,M1,8bit,C0,ifeval,prompt_level_strict_acc,0.709797,541,0.019531,ifeval_results.json
2026-07-05T04:56:20Z,M1,8bit,C0,ifeval,inst_level_strict_acc,0.786571,541,,ifeval_results.json
2026-07-05T04:56:20Z,M1,8bit,C0,ifeval,prompt_level_loose_acc,0.735675,541,0.018976,ifeval_results.json
2026-07-05T04:56:20Z,M1,8bit,C0,ifeval,inst_level_loose_acc,0.808153,541,,ifeval_results.json
2026-07-05T04:56:21Z,M3,8bit,C0,mbpp_base,pass@1,0.725,378,,mbpp_evalplus.log
2026-07-05T04:56:21Z,M3,8bit,C0,mbpp_plus,pass@1,0.619,378,,mbpp_evalplus.log
2026-07-05T06:19:01Z,M1,bf16,C0,mmlu_pro_biology,exact_match[custom-extract],0.725244,717,0.016682,mmlu_pro_results.json
2026-07-05T06:19:01Z,M1,bf16,C0,mmlu_pro_business,exact_match[custom-extract],0.622307,789,0.017271,mmlu_pro_results.json
2026-07-05T06:19:01Z,M1,bf16,C0,mmlu_pro_computer_science,exact_match[custom-extract],0.592683,410,0.024295,mmlu_pro_results.json
2026-07-05T06:19:01Z,M1,bf16,C0,mmlu_pro_economics,exact_match[custom-extract],0.684834,844,0.016001,mmlu_pro_results.json
2026-07-05T06:19:01Z,M1,bf16,C0,mmlu_pro_math,exact_match[custom-extract],0.698001,1351,0.012496,mmlu_pro_results.json
2026-07-05T06:19:01Z,M1,bf16,C0,mmlu_pro_other,exact_match[custom-extract],0.522727,924,0.016441,mmlu_pro_results.json
2026-07-05T09:12:14Z,M3,8bit,C0,ifeval,prompt_level_strict_acc,0.763401,541,0.018289,ifeval_results.json
2026-07-05T09:12:14Z,M3,8bit,C0,ifeval,inst_level_strict_acc,0.82494,541,,ifeval_results.json
2026-07-05T09:12:14Z,M3,8bit,C0,ifeval,prompt_level_loose_acc,0.794824,541,0.017378,ifeval_results.json
2026-07-05T09:12:14Z,M3,8bit,C0,ifeval,inst_level_loose_acc,0.854916,541,,ifeval_results.json
